signature,name,first_occurrence_page,first_occurrence_evidence,regex_patterns,replacement_rule,occurrences
jem,JEM,2,JEM stands for Japan Electrical Manufacturers' Association Standard,"(jem)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (jem)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'JEM' only; remove numeric values; optionally append <jem>,1
kbpsd,kBPSD,2,kBPSD stands for thousand barrels per stream day,"(kbpsd)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (kbpsd)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'kBPSD' only; remove numeric values; optionally append <kbpsd>,1
kta,KTA,2,KTA stands for Kilotonnes per Annum or thousand tonnes per year,"(kta)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (kta)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'KTA' only; remove numeric values; optionally append <kta>,1
ldpe,LDPE,2,LDPE stands for Low Density Polyethylene,"(ldpe)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ldpe)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LDPE' only; remove numeric values; optionally append <ldpe>,1
lidar,LIDAR,2,LIDAR stands for Leak Detection and Repair,"(lidar)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lidar)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LIDAR' only; remove numeric values; optionally append <lidar>,1
lldpe,LLDPE,2,LLDPE stands for Linear Low Density Polyethylene,"(lldpe)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lldpe)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LLDPE' only; remove numeric values; optionally append <lldpe>,1
lng,LNG,2,LNG stands for Liquefied Natural Gas,"(lng)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lng)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LNG' only; remove numeric values; optionally append <lng>,1
lpg,LPG,2,LPG stands for Liquefied Petroleum Gas,"(lpg)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lpg)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LPG' only; remove numeric values; optionally append <lpg>,1
lswr,LSWR,2,LSWR stands for Low-Sulfur Waxy Residue,"(lswr)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lswr)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LSWR' only; remove numeric values; optionally append <lswr>,1
lulc,LULC,2,LULC stands for Land Use and Land Cover,"(lulc)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (lulc)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'LULC' only; remove numeric values; optionally append <lulc>,1
ms,m/s,2,m/s stands for Meter per second,"(m/s)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (m/s)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'm/s' only; remove numeric values; optionally append <ms>,1
mtbe,MTBE,2,MTBE stands for Methyl tertiary butyl ether,"(mtbe)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (mtbe)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'MTBE' only; remove numeric values; optionally append <mtbe>,1
mw,MW,2,MW stands for Mega Watt,"(mw)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (mw)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'MW' only; remove numeric values; optionally append <mw>,1
nael,NAEL,2,NAEL stands for National Agency for Environmental License (see ANLA),"(nael)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (nael)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NAEL' only; remove numeric values; optionally append <nael>,1
nasa,NASA,2,NASA stands for National Aeronautics and Space Administration,"(nasa)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (nasa)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NASA' only; remove numeric values; optionally append <nasa>,1
ngo,NGO,2,NGO stands for Non-Government Organization,"(ngo)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ngo)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NGO' only; remove numeric values; optionally append <ngo>,1
nox,NOx,2,NOx stands for Nitrogen Oxides,"(nox)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (nox)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'NOx' only; remove numeric values; optionally append <nox>,1
pana,PANA,2,PANA stands for National Programme for Adaptation to Climate Changes,"(pana)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pana)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PANA' only; remove numeric values; optionally append <pana>,1
pap,PAP,2,PAP stands for Project Affected People,"(pap)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pap)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PAP' only; remove numeric values; optionally append <pap>,1
pd,PD,2,PD stands for Project Document,"(pd)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pd)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PD' only; remove numeric values; optionally append <pd>,1
pdh,PDH,2,PDH stands for Propane Dehydrogenation,"(pdh)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pdh)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PDH' only; remove numeric values; optionally append <pdh>,1
pdsi,PDSI,2,PDSI stands for Palmer Drought Severity Index,"(pdsi)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pdsi)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PDSI' only; remove numeric values; optionally append <pdsi>,1
pghu,PGHU,2,PGHU stands for Pygas Hydrotreating Unit,"(pghu)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pghu)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PGHU' only; remove numeric values; optionally append <pghu>,1
pm,PM,2,PM stands for Particulate Matter,"(pm)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pm)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PM' only; remove numeric values; optionally append <pm>,1
pp,PP,2,PP stands for Polypropylene,"(pp)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (pp)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PP' only; remove numeric values; optionally append <pp>,1
ps,PS,2,PS stands for Performance Standards,"(ps)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (ps)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'PS' only; remove numeric values; optionally append <ps>,1
sep,SEP,2,SEP stands for Stakeholder Engagement Plan,"(sep)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sep)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SEP' only; remove numeric values; optionally append <sep>,1
shu,SHU,2,SHU stands for Selective Hydrogenation Unit,"(shu)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (shu)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SHU' only; remove numeric values; optionally append <shu>,1
snap,SNAP,2,SNAP stands for National System of Protected Areas,"(snap)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (snap)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SNAP' only; remove numeric values; optionally append <snap>,1
soxso2,SOx/SO2,2,SOx/SO2 stands for Sulfur Oxides,"(sox/so2)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (sox/so2)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'SOx/SO2' only; remove numeric values; optionally append <soxso2>,1
thu,THU,2,THU stands for Total Hydrogenation Unit,"(thu)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (thu)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'THU' only; remove numeric values; optionally append <thu>,1
tor,TOR,2,TOR stands for Terms of Reference,"(tor)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (tor)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'TOR' only; remove numeric values; optionally append <tor>,1
tpd,TPD,2,TPD stands for Tonnes Per Day,"(tpd)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (tpd)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'TPD' only; remove numeric values; optionally append <tpd>,1
tph,TPH,2,TPH stands for Tonnes Per Hour,"(tph)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (tph)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'TPH' only; remove numeric values; optionally append <tph>,1
tpy,TPY,2,TPY stands for Tonnes Per Year,"(tpy)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (tpy)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'TPY' only; remove numeric values; optionally append <tpy>,1
vec,VEC,2,VEC stands for Valued Environmental Component,"(vec)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (vec)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'VEC' only; remove numeric values; optionally append <vec>,1
vocs,VOCs,2,VOCs stands for Volatile Organic Compounds,"(vocs)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (vocs)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'VOCs' only; remove numeric values; optionally append <vocs>,1
usgs,USGS,2,USGS stands for United States Geological Survey,"(usgs)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (usgs)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'USGS' only; remove numeric values; optionally append <usgs>,1
who,WHO,2,WHO stands for World Health Organization,"(who)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (who)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'WHO' only; remove numeric values; optionally append <who>,1
wtp,WTP,2,WTP stands for Wastewater Treatment Plant,"(wtp)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (wtp)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'WTP' only; remove numeric values; optionally append <wtp>,1
list_of_figures,List of Figures,3,"""LIST OFFIGURES .....................................................................................................   | LIST OFFIGURES .....................................................................................................   | 7""","(list\ of\ figures)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (list\ of\ figures)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'List of Figures' only; remove numeric values; optionally append <list_of_figures>,1
list_of_tables,List of Tables,3,"""LIST OFTABLES ........................................................................................................ | LIST OFTABLES ........................................................................................................ | 8""","(list\ of\ tables)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (list\ of\ tables)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'List of Tables' only; remove numeric values; optionally append <list_of_tables>,1
introduction_section,Introduction Section,3,"""1. INTRODUCTION ................................................................................................       | 1. INTRODUCTION ................................................................................................       | 9""","(introduction\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (introduction\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Introduction Section' only; remove numeric values; optionally append <introduction_section>,1
project_description_section,Project Description Section,3,"""2.                                                                                                                     | PROJECT DESCRIPTION ...................................................................................                | 11""","(project\ description\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (project\ description\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Project Description Section' only; remove numeric values; optionally append <project_description_section>,1
legal_and_regulatory_framework_section,Legal and Regulatory Framework Section,3,"""3.                                                                                                                     | LEGALANDREGULATORYFRAMEWORK ...........................................................                                | 17""","(legal\ and\ regulatory\ framework\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (legal\ and\ regulatory\ framework\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Legal and Regulatory Framework Section' only; remove numeric values; optionally append <legal_and_regulatory_framework_section>,1
environmental_baseline_conditions_section,Environmental Baseline Conditions Section,3,"""4.                                                                                                                     | ENVIRONMENTAL BASELINE CONDITIONS .......................................................                              | 23""","(environmental\ baseline\ conditions\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (environmental\ baseline\ conditions\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Environmental Baseline Conditions Section' only; remove numeric values; optionally append <environmental_baseline_conditions_section>,1
baseline_conditions_section,Baseline Conditions Section,3,"""5. 5.1                                                                                                                 | BASELINE CONDITIONS ...................................................................                                | ...................................................................... 37""","(baseline\ conditions\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (baseline\ conditions\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Baseline Conditions Section' only; remove numeric values; optionally append <baseline_conditions_section>,1
population_and_demography_section,Population and Demography Section,3,"""5.2                                                                                                                    | Population and Demography .....................................................................                        | 38""","(population\ and\ demography\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (population\ and\ demography\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Population and Demography Section' only; remove numeric values; optionally append <population_and_demography_section>,1
economy_and_infrastructure_section,Economy and Infrastructure Section,3,"""5.3                                                                                                                    | Economy and Infrastructure ......................................................................                      | 40""","(economy\ and\ infrastructure\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (economy\ and\ infrastructure\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Economy and Infrastructure Section' only; remove numeric values; optionally append <economy_and_infrastructure_section>,1
cultural_environment_section,Cultural Environment Section,3,"""5.4                                                                                                                    | Cultural Environment ...............................................................................                   | 41""","(cultural\ environment\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (cultural\ environment\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Cultural Environment Section' only; remove numeric values; optionally append <cultural_environment_section>,1
stakeholder_engagement_section,Stakeholder Engagement Section,3,"""6.                                                                                                                     | STAKEHOLDERENGAGEMENT .........................................................................                        | 42""","(stakeholder\ engagement\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (stakeholder\ engagement\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Stakeholder Engagement Section' only; remove numeric values; optionally append <stakeholder_engagement_section>,1
community_outreach_and_information_disclosure_section,Community Outreach and Information Disclosure Section,3,"""6.2                                                                                                                    | Community Outreach and Information Disclosure ......................................                                   | 44""","(community\ outreach\ and\ information\ disclosure\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (community\ outreach\ and\ information\ disclosure\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Community Outreach and Information Disclosure Section' only; remove numeric values; optionally append <community_outreach_and_information_disclosure_section>,1
consultation_and_participation_section,Consultation and Participation Section,3,"""6.3                                                                                                                    | Consultation and Participation ..................................................................                      | 45""","(consultation\ and\ participation\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (consultation\ and\ participation\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Consultation and Participation Section' only; remove numeric values; optionally append <consultation_and_participation_section>,1
grievance_redress_mechanism_section,Grievance Redress Mechanism Section,3,"""6.4                                                                                                                    | Grievance Redress Mechanism .................................................................                          | 45""","(grievance\ redress\ mechanism\ section)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (grievance\ redress\ mechanism\ section)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Grievance Redress Mechanism Section' only; remove numeric values; optionally append <grievance_redress_mechanism_section>,1
section_71_air_resources,Section 7.1 - Air Resources,5,7.1 Air Resources ...........................................................................................  | 47,"(section\ 7\.1\ \-\ air\ resources)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.1\ \-\ air\ resources)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.1 - Air Resources' only; remove numeric values; optionally append <section_71_air_resources>,1
section_72_land_and_soil_resources,Section 7.2 - Land and Soil Resources,5,7.2 Land and Soil Resources ..........................................................................         | 50,"(section\ 7\.2\ \-\ land\ and\ soil\ resources)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.2\ \-\ land\ and\ soil\ resources)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.2 - Land and Soil Resources' only; remove numeric values; optionally append <section_72_land_and_soil_resources>,1
section_73_water_resources,Section 7.3 - Water Resources,5,7.3 Water Resources ......................................................................................     | 50,"(section\ 7\.3\ \-\ water\ resources)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.3\ \-\ water\ resources)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.3 - Water Resources' only; remove numeric values; optionally append <section_73_water_resources>,1
section_74_waste_generation,Section 7.4 - Waste Generation,5,7.4 Waste Generation                                                                                           | .................................................................................... 52,"(section\ 7\.4\ \-\ waste\ generation)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.4\ \-\ waste\ generation)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.4 - Waste Generation' only; remove numeric values; optionally append <section_74_waste_generation>,1
section_75_ecology_and_biodiversity,Section 7.5 - Ecology and Biodiversity,5,7.5 Ecology and Biodiversity ...........................................................................       | 52,"(section\ 7\.5\ \-\ ecology\ and\ biodiversity)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.5\ \-\ ecology\ and\ biodiversity)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.5 - Ecology and Biodiversity' only; remove numeric values; optionally append <section_75_ecology_and_biodiversity>,1
section_76_socioeconomic_impacts,Section 7.6 - Socioeconomic Impacts,5,7.6 Socioeconomic Impacts ...........................................................................          | 53,"(section\ 7\.6\ \-\ socioeconomic\ impacts)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.6\ \-\ socioeconomic\ impacts)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.6 - Socioeconomic Impacts' only; remove numeric values; optionally append <section_76_socioeconomic_impacts>,1
section_77_sociocultural_impacts,Section 7.7 - Sociocultural Impacts,5,7.7 Sociocultural Impacts ..............................................................................       | 54,"(section\ 7\.7\ \-\ sociocultural\ impacts)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.7\ \-\ sociocultural\ impacts)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.7 - Sociocultural Impacts' only; remove numeric values; optionally append <section_77_sociocultural_impacts>,1
section_78_cumulative_and_residual_impacts,Section 7.8 - Cumulative and Residual Impacts,5,7.8 Cumulative and Residual Impacts .............................................................              | 55,"(section\ 7\.8\ \-\ cumulative\ and\ residual\ impacts)\s*(?:of|:|=)?\s*\d[\d\.,]*\s*(?:[a-zµ/]+)? | (section\ 7\.8\ \-\ cumulative\ and\ residual\ impacts)\s*\(\s*\d[\d\.,]*\s*(?:[a-zµ/]+)?\s*\)",Keep 'Section 7.8 - Cumulative and Residual Impacts' only; remove numeric values; optionally append <section_78_cumulative_and_residual_impacts>,1
